CUSTOMER_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,SCR,HOLDING PERIOD,ACCOUNT TYPE,LENGTH OF RELATIONSHIP IN MONTHS,Number of Credit Transactions,Number of debit transactions,Total No. of Transaction,No. of Branch Cash Withdrawal Transactions,No. of ATM Debit Transactions,No. of Net Debit Transactions,No. of Mobile Banking Debit Transactions,No. of Cheque Debit Transactions,"Has Credit Card - 1: Yes, 0: No",Amount Withdrawn from ATM,Amount cash withdrawn from Branch ,Amount debited by Cheque Transactions,Amount debited by Net Transactions,Amount debited by Mobile Banking Transactions,Total Amount Debited,Has any banking charges,Amount charged by way of the Other Bank ATM usage,Amount charged by way Minimum Balance not maintained,Amount charged by way Inward Cheque Bounce,Amount charged by way Outward Cheque Bounce,Avg. Amt withdrawn per ATM Transaction,Avg. Amt withdrawn per Cash Withdrawal Transaction,Avg. Amt debited per Cheque Transaction,Avg. Amt debited per Net Transaction,Avg. Amt debited per Mobile Banking Transaction,"Has Nominee - 1: Yes, 0: No","Has any earlier loan - 1: Yes, 0: No"
1030,1,49,MALE,139713.71,SALARIED EMPLOYEE,300,2,SA,202,8,6,14,1,1,0,0,4,0,3800,480640,25090,0,0,507130,0,0,0,0,0,1400,480640,6272.5,0,0,0,0
5869,1,53,MALE,47333.77,SALARIED EMPLOYEE,286,11,SA,90,2,4,4,1,2,0,0,1,1,17200,755780,0,0,0,755780,0,0,0,0,0,0,755780,0,0,0,1,1
17784,1,47,MALE,164832.03,SELF EMPLOYEE,765,10,SA,94,5,5,10,2,1,1,0,1,0,11600,106920,0,325480,0,449400,0,0,0,0,0,17000,53460,0,325480,0,1,1
14659,1,44,MALE,14824.63,SELF EMPLOYEE,679,9,CA,217,57,23,80,11,3,7,1,1,1,42800,997070,69630,564424,28006,1720930,0,0,0,0,0,20600,90642.73,69630,80632,28006,1,0
16749,1,51,MALE,1366564.05,PROFESSOR,796,13,SA,135,4,3,7,1,0,0,0,2,1,0,789120,80510,0,0,869630,0,0,0,0,0,0,789120,40255,0,0,1,1
7998,1,27,MALE,775053.78,SALARIED EMPLOYEE,386,10,SA,71,3,2,5,1,0,0,0,1,1,4900,261080,0,0,0,261080,0,0,0,0,0,0,261080,0,0,0,1,1
9080,1,42,MALE,246214.55,PROFESSOR,567,5,SA,140,14,12,26,5,1,4,1,1,0,0,856830,14440,908850,124686,1907406,0,0,0,0,0,2600,171366,14440,227212.5,124686,1,1
5291,1,44,MALE,175137.56,SELF EMPLOYEE,284,1,SA,185,7,5,12,0,1,0,0,4,1,2600,0,18590,0,0,26090,0,0,0,0,0,7500,0,4647.5,0,0,1,1
1771,1,33,MALE,288928.63,PROFESSOR,841,1,SA,214,8,6,14,3,1,1,0,1,0,0,329900,0,34039,0,367539,0,0,0,0,0,3600,109966.67,0,34039,0,1,0
18950,1,34,MALE,47283.21,PROFESSOR,324,5,CA,154,42,17,59,6,2,0,1,8,0,3300,609710,575120,0,156694,1359224,0,0,0,0,0,8850,101618.33,71890,0,156694,1,0
13394,1,36,MALE,120465.79,PROFESSOR,374,23,SA,79,18,4,22,0,3,0,1,0,1,7500,0,0,0,89907,114607,0,0,0,0,0,8233.33,0,0,0,89907,1,0
7993,1,46,FEMALE,426903.99,DEPENDANTS,288,3,SA,127,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19849,1,36,MALE,97731.5,SELF EMPLOYEE,482,6,SA,195,19,15,34,6,2,4,1,2,1,11100,483560,23310,604056,60924,1209650,0,0,0,0,0,18900,80593.33,11655,151014,60924,1,0
2235,1,26,MALE,306150.31,PROFESSOR,388,17,SA,40,19,14,33,2,2,4,1,5,1,27000,715380,514000,919369,172527,2330376,1,0,0,0,0,4550,357690,102800,229842.25,172527,1,1
3003,1,38,FEMALE,853363.95,SALARIED EMPLOYEE,195,27,CA,62,13,2,15,1,0,0,0,1,0,800,417250,86510,0,0,503760,1,0,0,0,1,0,417250,86510,0,0,1,0
7747,1,52,FEMALE,1683750.31,PROFESSOR,748,21,SA,213,18,2,20,0,0,1,1,0,0,0,0,0,446897,182287,629184,0,0,0,0,0,0,0,0,446897,182287,1,0
14328,1,37,MALE,12824.56,SELF EMPLOYEE,213,13,SA,202,14,14,28,3,2,4,1,4,0,37800,19940,18220,757570,114890,918420,0,0,0,0,0,3900,6646.67,4555,189392.5,114890,1,1
14629,1,25,MALE,124832.55,DEPENDANTS,873,4,CA,189,31,18,49,8,2,0,1,7,1,19000,499150,881160,0,97633,1504343,0,0,0,0,0,13200,62393.75,125880,0,97633,1,1
2241,1,44,MALE,12531.87,DEPENDANTS,429,12,SA,70,6,6,12,1,1,0,0,4,0,9700,37630,85840,0,0,139770,0,0,0,0,0,16300,37630,21460,0,0,1,1
4150,1,44,MALE,16195.6,SELF EMPLOYEE,635,7,SA,128,13,7,20,0,1,1,0,5,0,0,0,892260,279941,0,1191101,0,0,0,0,0,18900,0,178452,279941,0,1,0
349,1,43,MALE,18085.23,SALARIED EMPLOYEE,197,10,CA,66,31,18,49,4,2,0,1,11,1,0,849490,4428580,0,148602,5447172,1,0,0,0,1,10250,212372.5,402598.18,0,148602,1,1
11148,1,29,MALE,280111.73,SALARIED EMPLOYEE,755,3,CA,213,40,16,56,4,2,0,1,9,1,9000,522160,528830,0,148074,1228864,1,0,0,1,0,14900,130540,58758.89,0,148074,1,0
2328,1,40,MALE,252180.38,DEPENDANTS,650,31,SA,106,14,2,16,1,1,0,0,0,1,12400,531900,0,0,0,549700,0,0,0,0,0,17800,531900,0,0,0,1,0
4486,1,39,MALE,7095.59,DEPENDANTS,407,23,CA,189,15,4,19,3,0,1,0,0,0,29800,109590,0,317726,0,427316,0,0,0,0,0,0,36530,0,317726,0,1,0
18084,1,33,FEMALE,334021.16,DEPENDANTS,741,1,SA,147,12,6,18,1,1,0,0,4,0,11300,169190,36780,0,0,206470,0,0,0,0,0,500,169190,9195,0,0,1,1
19732,1,43,FEMALE,75985.16,PROFESSOR,170,19,SA,31,18,14,32,5,2,4,1,2,0,12100,687440,19760,725905,24134,1506139,0,0,0,0,0,24450,137488,9880,181476.25,24134,1,1
3618,1,35,MALE,951135.07,DEPENDANTS,313,8,SA,119,2,1,3,0,0,0,0,1,0,400,0,89020,0,0,89020,0,0,0,0,0,0,0,89020,0,0,1,1
12993,1,32,MALE,131411.26,SELF EMPLOYEE,907,4,SA,207,8,5,13,0,1,0,0,4,0,0,0,99120,0,0,114520,0,0,0,0,0,15400,0,24780,0,0,0,1
9158,1,38,MALE,1112859.88,SELF EMPLOYEE,275,15,SA,132,14,7,21,3,1,1,0,2,0,7500,690150,73720,395446,0,1171816,0,0,0,0,0,12500,230050,36860,395446,0,1,0
17935,1,35,FEMALE,295054.63,PROFESSOR,530,9,CA,128,39,16,55,4,2,0,1,9,0,15400,119940,99500,0,180479,405919,0,0,0,0,0,3000,29985,11055.56,0,180479,1,0
7378,1,30,FEMALE,514834.46,SALARIED EMPLOYEE,219,14,CA,72,18,3,21,3,0,0,0,0,1,0,523450,0,0,0,523450,0,0,0,0,0,0,174483.33,0,0,0,1,0
19533,1,44,MALE,8568.71,SELF EMPLOYEE,923,3,SA,198,7,6,13,1,1,0,0,4,0,0,129240,73050,0,0,208690,0,0,0,0,0,6400,129240,18262.5,0,0,1,1
3495,1,49,MALE,78757.41,SELF EMPLOYEE,559,19,CA,94,12,14,26,6,2,4,1,1,0,0,479030,79070,150369,31220,768289,0,0,0,0,0,14300,79838.33,79070,37592.25,31220,1,0
5371,1,25,MALE,85709.99,SELF EMPLOYEE,473,3,SA,149,9,6,15,2,1,1,0,2,0,17700,896690,30370,581857,0,1517717,0,0,0,0,0,8800,448345,15185,581857,0,1,0
5136,1,29,MALE,169788.3,SALARIED EMPLOYEE,791,6,SA,141,14,7,21,1,1,1,0,4,0,9200,784680,92430,961956.7,0,1853766.7,0,0,0,0,0,14700,784680,23107.5,961956.7,0,1,0
1184,1,44,MALE,39277.56,SELF EMPLOYEE,558,11,CA,117,30,28,58,5,3,8,2,10,1,28600,884750,3170900,665205,66416,4848271,0,0,0,0,0,20333.33,176950,317090,83150.62,33208,1,1
3351,1,32,MALE,27234.38,SALARIED EMPLOYEE,219,2,SA,38,7,7,14,4,1,1,0,1,0,0,313600,0,527398,0,859698,0,0,0,0,0,18700,78400,0,527398,0,1,1
4562,1,39,MALE,268542.99,SELF EMPLOYEE,774,10,SA,171,2,6,8,1,1,0,0,4,1,0,90710,58740,0,0,166550,0,0,0,0,0,17100,90710,14685,0,0,1,0
9798,1,37,FEMALE,504030.73,SALARIED EMPLOYEE,225,8,CA,67,44,18,62,12,2,0,1,3,1,79900,885120,29680,0,145105,1081005,0,0,0,0,0,10550,73760,9893.33,0,145105,1,0
5801,1,39,MALE,8973.34,SELF EMPLOYEE,490,4,SA,122,10,6,16,0,1,1,0,4,0,15700,0,20010,462268,0,498178,0,0,0,0,0,15900,0,5002.5,462268,0,1,0
607,1,24,FEMALE,382207.14,SALARIED EMPLOYEE,699,3,SA,177,16,15,31,4,2,4,1,4,1,19400,891280,299620,452837,192995,1841232,0,0,0,0,0,2250,222820,74905,113209.25,192995,1,0
3034,1,47,FEMALE,7633.73,SELF EMPLOYEE,686,13,SA,141,13,7,20,3,1,1,0,2,1,38600,783310,87340,730974,0,1619924,0,0,0,0,0,18300,261103.33,43670,730974,0,1,0
784,1,30,MALE,66584.77,DEPENDANTS,648,3,SA,105,4,3,7,1,0,0,0,2,1,0,60340,97240,0,0,157580,0,0,0,0,0,0,60340,48620,0,0,1,1
18808,1,29,FEMALE,732222.63,PROFESSOR,661,2,SA,80,18,14,32,5,2,4,1,2,0,17900,682240,88980,729330,156211,1665261,1,0,0,0,1,4250,136448,44490,182332.5,156211,1,1
2224,1,40,MALE,17214.24,SALARIED EMPLOYEE,690,6,SA,182,18,14,32,4,2,3,1,4,1,8300,354890,40960,672963,57033,1142846,0,0,0,0,0,8500,88722.5,10240,224321,57033,1,0
8416,1,47,MALE,242357.88,SELF EMPLOYEE,373,18,SA,194,8,7,15,0,1,1,0,5,1,24900,0,897840,998622,0,1904462,0,0,0,0,0,8000,0,179568,998622,0,1,0
989,1,41,MALE,788659.77,SALARIED EMPLOYEE,748,1,CA,30,42,17,59,6,2,0,1,8,1,18400,151540,430600,0,19173,629313,0,0,0,0,0,14000,25256.67,53825,0,19173,1,1
9079,1,45,MALE,190285.06,SELF EMPLOYEE,169,1,SA,175,6,3,9,2,0,0,0,1,1,17500,861750,0,0,0,861750,0,0,0,0,0,0,430875,0,0,0,1,0
12532,1,31,OTHER,24854.97,PROFESSOR,150,16,CA,48,22,1,23,1,0,0,0,0,0,13600,391570,0,0,0,391570,0,0,0,0,0,0,391570,0,0,0,0,1
5737,1,53,MALE,16284.22,SELF EMPLOYEE,850,26,SA,74,6,4,8,1,2,0,0,1,1,0,488190,87240,0,0,575430,0,0,0,0,0,0,488190,87240,0,0,1,1
12845,1,55,MALE,3060403.96,PROFESSOR,286,25,SA,59,13,1,14,1,0,0,0,0,0,0,688950,0,0,0,688950,0,0,0,0,0,0,688950,0,0,0,1,0
17731,1,43,FEMALE,36612.52,SELF EMPLOYEE,180,7,SA,70,14,7,21,2,1,0,0,4,0,12100,877250,91080,0,0,969930,0,0,0,0,0,1600,438625,22770,0,0,0,1
18719,1,43,FEMALE,433097.87,PROFESSOR,378,1,SA,50,13,7,20,4,1,1,0,1,0,19800,84950,0,490186,0,588636,0,0,0,0,0,13500,21237.5,0,490186,0,0,0
7019,1,52,MALE,22025.43,SELF EMPLOYEE,150,9,SA,97,8,5,13,2,1,1,0,1,1,0,76250,0,685530,0,778180,0,0,0,0,0,16400,38125,0,685530,0,1,1
13840,1,36,MALE,288328.23,SELF EMPLOYEE,838,12,SA,132,20,11,31,5,1,0,1,4,0,17600,869200,42040,0,63136,985576,1,0,0,0,1,11200,173840,10510,0,63136,1,0
528,1,45,MALE,575795.93,PROFESSOR,204,25,CA,63,52,2,54,1,1,0,0,0,0,18600,277690,0,0,0,288090,0,0,0,0,0,10400,277690,0,0,0,1,1
13978,1,41,MALE,352805.36,SALARIED EMPLOYEE,884,12,SA,87,5,6,11,1,1,0,0,4,1,9500,348860,70670,0,0,434830,0,0,0,0,0,15300,348860,17667.5,0,0,1,1
4191,1,51,MALE,50969.87,SALARIED EMPLOYEE,348,13,CA,78,6,3,9,1,0,0,0,2,0,11200,246500,79630,0,0,326130,0,0,0,0,0,0,246500,39815,0,0,1,1
16007,1,33,MALE,3.93,SELF EMPLOYEE,528,10,CA,200,50,20,70,8,2,5,1,4,0,10400,518700,49450,221243,158114,964307,1,0,170,0,0,8400,64837.5,12362.5,44248.6,158114,0,1
8401,1,55,MALE,1579777.81,SALARIED EMPLOYEE,284,17,SA,84,11,5,16,2,1,1,0,1,1,1600,762000,0,679100,0,1451400,0,0,0,0,0,10300,381000,0,679100,0,1,1
1263,1,36,MALE,2761.91,DEPENDANTS,553,4,SA,217,2,6,8,1,1,0,0,4,0,10500,480790,17060,0,0,508450,0,0,0,0,0,10600,480790,4265,0,0,1,0
15488,1,44,MALE,7701.45,PROFESSOR,134,13,CA,177,38,15,53,1,2,4,1,7,1,34800,822300,91080,970687,3386,1935153,0,0,0,0,0,23850,822300,13011.43,242671.75,3386,1,1
11249,1,43,MALE,108710.21,PROFESSOR,792,8,SA,61,14,11,25,5,1,0,1,4,1,18800,725380,44090,0,32368,816538,0,0,0,0,0,14700,145076,11022.5,0,32368,1,0
17646,1,50,MALE,141124.18,SALARIED EMPLOYEE,327,9,SA,174,6,5,11,1,1,1,0,2,1,0,69660,41380,971684.66,0,1101224.66,0,0,0,0,0,18500,69660,20690,971684.66,0,1,0
7679,1,55,MALE,195833.32,PROFESSOR,873,5,SA,90,19,15,34,4,2,4,1,4,0,45500,283760,990640,214748,170442,1674990,0,0,0,0,0,7700,70940,247660,53687,170442,1,1
12914,1,29,MALE,149855.46,SALARIED EMPLOYEE,425,3,SA,93,6,5,11,2,1,1,0,1,1,4800,271280,0,267380,0,539560,0,0,0,0,0,900,135640,0,267380,0,1,0
5319,1,44,FEMALE,31839.27,SELF EMPLOYEE,813,23,CA,81,37,3,40,2,1,0,0,0,0,14700,393550,0,0,0,400350,0,0,0,0,0,6800,196775,0,0,0,1,0
18071,1,33,MALE,10793.72,SELF EMPLOYEE,684,1,SA,127,10,5,15,1,1,1,0,2,0,0,360480,37490,23886,0,440356,0,0,0,0,0,18500,360480,18745,23886,0,1,1
4359,1,25,MALE,257174.4,PROFESSOR,693,24,CA,176,19,4,23,4,0,0,0,0,0,7700,105760,0,0,0,105760,0,0,0,0,0,0,26440,0,0,0,1,1
1681,1,51,MALE,319084.18,PROFESSOR,270,22,SA,118,12,2,13,0,1,1,0,0,1,0,0,0,413625,0,413625,0,0,0,0,0,0,0,0,413625,0,1,1
15678,1,49,FEMALE,36510.97,PROFESSOR,450,19,CA,138,6,3,9,0,0,0,0,3,1,16600,0,53760,0,0,53760,0,0,0,0,0,0,0,17920,0,0,1,1
19675,1,21,MALE,1143880.56,PROFESSOR,229,14,SA,128,2,2,4,1,0,0,0,1,0,30800,101010,0,0,0,101010,0,0,0,0,1,0,101010,0,0,0,1,0
19106,1,39,MALE,325128.38,PROFESSOR,822,21,SA,111,11,4,15,3,0,0,1,0,1,17600,428580,0,0,65080,493660,0,0,0,0,0,0,142860,0,0,65080,0,1
11821,1,30,MALE,440072.66,SALARIED EMPLOYEE,850,18,SA,42,14,7,21,2,1,0,0,4,1,0,909570,61200,0,0,980070,0,0,0,0,0,9300,454785,15300,0,0,1,1
4870,1,50,FEMALE,43143.12,SELF EMPLOYEE,968,6,SA,50,12,6,18,2,1,1,0,2,1,34100,314940,47610,277352,0,649902,0,0,0,0,0,10000,157470,23805,277352,0,0,1
1567,1,52,MALE,37639.4,DEPENDANTS,213,12,SA,125,4,3,7,1,0,0,0,2,0,0,443650,67120,0,0,510770,0,0,0,0,0,0,443650,33560,0,0,0,0
1725,1,36,FEMALE,429692.09,DEPENDANTS,228,18,CA,48,38,15,53,4,2,4,1,4,0,18400,977630,42840,997782,51718,2096270,0,0,0,0,0,13150,244407.5,10710,249445.5,51718,1,0
15210,1,45,MALE,188037.63,PROFESSOR,257,9,SA,211,6,7,13,2,1,0,0,4,0,0,156130,73770,0,0,241600,0,0,0,0,0,11700,78065,18442.5,0,0,1,0
9987,1,22,MALE,971583.12,SELF EMPLOYEE,501,18,SA,39,4,3,7,1,0,0,0,2,0,6600,570140,70080,0,0,640220,0,0,0,1,0,0,570140,35040,0,0,1,0
8126,1,50,MALE,233498.45,PROFESSOR,265,21,SA,58,20,4,24,3,1,0,0,0,1,18200,30630,0,0,0,34830,0,0,0,0,0,4200,10210,0,0,0,1,1
16515,1,54,MALE,691911.9,DEPENDANTS,381,15,CA,76,6,6,12,2,1,1,0,2,0,40100,84880,15760,601863,0,704303,0,0,0,0,0,1800,42440,7880,601863,0,1,1
11289,1,55,MALE,692670.86,PROFESSOR,428,21,SA,35,14,4,17,3,1,0,0,0,1,45900,971340,0,0,0,971340,0,0,0,0,0,0,323780,0,0,0,1,0
7805,1,33,FEMALE,334021.16,DEPENDANTS,776,1,SA,147,12,6,18,1,1,0,0,4,0,5600,169190,36780,0,0,206470,0,0,0,0,0,500,169190,9195,0,0,1,1
12123,1,50,FEMALE,283944.02,DEPENDANTS,329,9,SA,209,12,6,18,2,1,1,0,2,0,0,360880,81050,194023,0,638253,0,0,0,0,0,2300,180440,40525,194023,0,1,1
14215,1,31,FEMALE,201247,DEPENDANTS,387,17,SA,194,11,11,22,5,1,0,1,4,1,1800,44280,98640,0,130255,281175,0,0,0,0,0,8000,8856,24660,0,130255,1,0
7479,1,35,MALE,951135.07,DEPENDANTS,313,8,SA,119,2,1,3,0,0,0,0,1,0,12200,0,89020,0,0,89020,0,0,0,0,0,0,0,89020,0,0,1,1
1663,1,32,MALE,91401.57,PROFESSOR,485,1,CA,201,26,24,50,2,3,7,1,11,1,2900,567810,134180,280604,108497,1146691,0,0,0,0,0,18533.33,283905,12198.18,40086.29,108497,0,0
6425,1,39,MALE,652122.05,PROFESSOR,770,16,SA,123,18,14,32,2,2,4,1,5,0,0,967200,402540,383762,153212,1924514,0,0,0,0,0,8900,483600,80508,95940.5,153212,1,0
12549,1,24,FEMALE,321857.71,SELF EMPLOYEE,209,4,SA,92,5,6,11,1,1,0,0,4,0,6100,764100,21560,0,0,803560,0,0,0,0,0,17900,764100,5390,0,0,1,0
1709,1,21,MALE,30664.24,PROFESSOR,758,13,CA,165,55,22,77,9,2,6,1,4,0,0,304110,51810,507458,104727,1000505,1,0,0,0,1,16200,33790,12952.5,84576.33,104727,1,1
8002,1,25,FEMALE,4053301.74,PROFESSOR,667,3,SA,198,8,5,13,1,1,1,0,2,1,0,366990,35400,92860,0,496950,0,0,0,0,0,1700,366990,17700,92860,0,1,0
4286,1,29,MALE,373880.22,DEPENDANTS,386,14,CA,199,19,4,23,1,2,1,0,0,0,3200,853740,0,837930,0,1723570,0,0,0,0,0,15950,853740,0,837930,0,1,1
14833,1,29,MALE,268324.16,SELF EMPLOYEE,501,1,SA,65,10,5,15,0,1,0,0,4,0,14700,0,59050,0,0,59350,0,0,0,0,0,300,0,14762.5,0,0,1,0
11798,1,41,MALE,638.21,PROFESSOR,904,1,SA,114,11,6,17,1,1,0,0,4,0,7800,490990,58510,0,0,568300,1,0,170,1,0,18800,490990,14627.5,0,0,1,0
11553,1,31,FEMALE,80962.76,PROFESSOR,546,18,CA,52,12,14,26,5,2,4,1,2,0,8500,449320,80040,938105,165015,1650880,0,0,0,0,0,9200,89864,40020,234526.25,165015,1,1
448,1,32,MALE,1478188.08,DEPENDANTS,148,7,CA,170,9,9,18,1,1,0,1,6,1,0,134940,84737,0,20164,255541,0,0,0,0,0,15700,134940,14122.83,0,20164,0,0
11623,1,25,MALE,412846.43,PROFESSOR,854,1,SA,41,7,6,13,1,1,0,0,4,0,14200,438900,12550,0,0,458850,1,0,0,0,1,7400,438900,3137.5,0,0,1,1
15697,1,36,FEMALE,57376.05,SELF EMPLOYEE,712,21,SA,77,11,3,14,2,1,0,0,0,1,0,187490,0,0,0,196690,1,0,0,0,0,9200,93745,0,0,0,1,0
16410,1,34,MALE,263755.37,SALARIED EMPLOYEE,124,19,SA,193,5,6,11,2,1,1,0,2,0,0,109760,10760,912327,0,1043547,0,0,0,0,0,10700,54880,5380,912327,0,1,1
7200,1,41,MALE,228693.5,PROFESSOR,291,19,CA,160,64,2,65,1,1,0,0,0,0,0,286180,0,0,0,286180,1,0,0,0,0,0,286180,0,0,0,1,1
1790,1,42,MALE,68352.26,SELF EMPLOYEE,332,10,CA,136,22,29,51,5,3,9,2,10,0,7000,3450,3583560,350762,97827,4060399,0,0,0,0,0,8266.67,690,358356,38973.56,48913.5,1,0
1594,1,45,MALE,25978.67,SALARIED EMPLOYEE,751,11,CA,149,64,63,127,0,16,19,24,4,1,0,0,374660,689792,71287,1170439,1,200,0,0,0,2168.75,0,93665,36304.84,2970.29,1,1
6880,1,38,MALE,214352.17,SALARIED EMPLOYEE,211,5,SA,163,3,2,5,1,0,0,0,1,0,10100,454200,0,0,0,454200,0,0,0,0,0,0,454200,0,0,0,0,0
19058,1,44,MALE,102168.98,SELF EMPLOYEE,820,8,SA,140,2,5,7,0,1,0,0,4,0,12100,0,19060,0,0,34060,0,0,0,0,0,15000,0,4765,0,0,1,1
7639,1,42,FEMALE,672416.19,DEPENDANTS,939,2,SA,74,7,5,12,2,1,1,0,1,0,0,126500,0,822732,0,965832,0,0,0,0,0,16600,63250,0,822732,0,1,0
19013,1,46,MALE,820931.13,SALARIED EMPLOYEE,220,14,SA,125,8,5,13,1,1,1,0,2,0,0,920530,92090,961720,0,1979540,0,0,0,0,0,5200,920530,46045,961720,0,1,1
609,1,55,MALE,142580.28,DEPENDANTS,717,14,CA,73,7,7,14,1,1,1,0,4,1,0,516370,26280,609465,0,1160515,0,0,0,0,0,8400,516370,6570,609465,0,1,0
14003,1,51,MALE,452800.65,DEPENDANTS,563,15,SA,161,16,15,31,1,2,4,1,7,0,15300,713420,446370,472558,96983,1735131,0,0,0,0,0,2900,713420,63767.14,118139.5,96983,1,1
7365,1,36,MALE,1799015.33,SELF EMPLOYEE,869,1,CA,178,1,1,2,0,0,0,0,1,0,19400,0,41000,0,0,41000,0,0,0,0,0,0,0,41000,0,0,1,1
